symbol,adt,days_count,bars_count
KPRMILL,27269419.886454184,753,56207
SKFINDIA,26761073.663213808,753,55977
ASTRAL,26225254.353585657,753,56118
TIMKEN,26010113.392231077,753,56142
JKCEMENT,26006377.605710488,753,56206
SJVN,25434101.29860558,753,56239
CERA,25260929.278884463,753,56193
GRAVITA,24944268.85252324,753,56136
GPIL,24537677.239043824,753,55921
ASTRAZEN,24093336.191965476,753,56116
ABBOTINDIA,22877646.368260298,753,56042
SCHAEFFLER,22009765.068061087,753,55670
SOLARINDS,21564587.730544485,753,56059
APARINDS,21015495.788711816,753,56141
KNRCON,20776277.996015936,753,56127
3MINDIA,20096257.06494024,753,56008
AARTIIND,19742884.67689243,753,56234
MAHSEAMLES,18901738.616467465,753,56163
ZENTEC,18849848.80833333,714,53291
PGEL,17865797.120849933,753,55900
EIHOTEL,17667666.040172644,753,56157
USHAMART,16998366.830411684,753,56224
KIRLOSBROS,15324226.825232405,753,55903
TRITURBINE,14855560.981208498,753,56226
ASAHIINDIA,13819063.377091635,753,56111
BRIGADE,12416827.657304117,753,56140
JSWHL,12102687.581075696,753,55261
LINDEINDIA,11805767.384262946,753,55411
ELGIEQUIP,11786642.914342629,753,55999
HONAUT,11578834.423439575,753,55295
TARIL,11572956.41062417,753,55983
KIRLOSENG,8986453.999601593,753,55684
MAHABANK,8948980.967330677,753,56235
FACT,8090437.539176627,753,56149
POLYMED,7917317.560371846,753,55199
TRIDENT,7444738.555444887,753,56239
OLECTRA,7365863.429986702,752,53900
RHIM,6963555.483266933,753,55410
CGCL,6831007.15245684,753,53876
360ONE,6755023.044635193,233,17235
RTNINDIA,6110806.941434262,753,56034
PTCIL,5649495.546435272,533,39728
ALKYLAMINE,5626771.75059761,753,54684
AFFLE,4715681.756944444,108,8087
INDIAMART,3060590.493461538,130,9571
JWL,1988663.7313413015,753,55859
STARHEALTH,1265322.941802721,294,14042
IRCTC,557056.9628721541,571,38502
ROUTE,371933.99235795456,704,37763
ANGELONE,22748.694736842102,114,6290
